temperature,humidity,oil_level,gas_value,fault_class
33.83,69.15,4.22,229.02,3
24.57,30.0,19.19,993.03,0
28.25,54.41,21.39,864.98,0
28.14,62.66,3.26,1480.5,0
33.53,48.15,23.41,1005.0,0
39.78,48.53,6.56,453.39,1
21.36,54.0,23.45,386.91,0
35.08,54.34,13.81,1009.15,0
20.58,78.89,20.04,1911.2,4
31.7,79.22,13.05,222.75,2
28.23,32.36,11.27,717.19,0
22.78,43.36,20.61,1491.39,0
31.59,77.74,23.16,281.9,2
29.88,65.23,8.2,253.61,0
39.2,70.5,10.62,1323.3,0
38.56,51.97,3.62,1708.94,4
39.15,70.63,8.5,1415.72,0
23.39,52.65,4.58,130.83,3
24.12,36.99,4.31,722.26,3
37.2,43.71,15.34,1715.83,4
36.51,45.33,7.34,203.22,1
29.53,78.52,18.77,94.39,2
30.02,67.18,18.48,1036.57,0
36.33,47.27,7.91,1600.36,4
28.28,57.79,23.03,1201.26,0
23.27,31.99,4.22,835.65,3
24.59,77.22,8.53,1442.85,0
35.88,54.14,9.63,1721.05,4
30.07,45.17,17.56,1964.05,4
28.63,31.42,17.53,364.55,0
32.83,71.52,15.38,1673.03,4
37.56,57.71,5.18,642.54,1
27.75,57.51,9.67,197.17,0
26.25,70.58,22.65,535.85,0
34.55,83.81,15.9,1461.09,0
28.06,71.81,8.5,446.93,0
28.24,73.42,18.49,1000.06,0
23.24,77.97,11.74,715.53,2
25.55,49.9,19.72,1144.57,0
28.65,53.21,8.49,968.75,0
32.03,73.37,13.73,1685.24,4
30.47,31.82,13.6,1314.37,0
25.49,48.32,12.98,960.83,0
23.06,65.99,20.73,224.67,0
27.41,80.74,7.12,520.28,2
34.18,56.49,5.85,492.27,0
22.82,60.02,3.81,1.44,3
31.59,74.16,12.22,1817.01,4
32.57,70.88,9.0,230.19,0
29.69,62.0,18.24,343.31,0
30.71,31.64,6.24,15.78,0
23.47,42.77,14.64,1492.5,0
35.04,53.05,19.53,514.53,1
23.94,42.31,17.86,1788.29,4
35.48,77.87,12.22,1740.1,4
36.54,63.49,4.36,1936.66,4
35.37,48.79,24.09,1546.83,4
30.9,48.41,15.98,355.37,0
34.95,65.51,7.77,845.0,0
23.07,60.59,10.14,579.05,0
25.06,83.62,15.9,693.95,2
29.56,67.77,6.8,1829.46,4
37.81,53.57,16.69,737.97,1
24.67,81.84,10.58,965.4,2
33.3,82.6,3.46,1132.45,0
35.4,55.86,10.53,1462.56,0
34.11,46.16,6.77,6.51,0
23.32,57.96,10.33,227.82,0
31.07,48.2,7.39,699.66,0
39.49,59.93,3.82,1272.49,0
35.81,69.21,19.0,989.35,1
32.89,53.49,10.87,138.64,0
25.4,60.01,7.0,1333.97,0
37.87,69.62,10.44,1426.76,0
21.14,74.81,11.03,1005.14,0
36.6,36.75,16.35,487.53,1
36.7,50.54,15.94,1384.29,0
33.2,60.83,13.71,1002.07,0
26.28,61.96,15.49,925.32,0
39.5,76.63,18.13,1312.22,0
35.82,62.57,17.16,978.71,1
32.02,47.3,7.55,15.14,0
31.36,82.51,24.87,1544.93,4
20.18,33.68,8.7,1956.14,4
20.53,69.71,19.16,1256.78,0
29.05,77.37,24.24,1070.33,0
31.18,69.81,18.77,875.57,0
28.75,77.46,23.45,1440.03,0
22.67,52.05,23.47,1137.13,0
39.99,37.31,3.55,1752.59,4
30.97,43.04,13.65,921.08,0
32.98,48.72,21.03,1842.72,4
29.26,71.9,14.37,95.28,0
25.8,44.8,6.86,1528.37,4
27.59,30.68,11.7,1425.13,0
24.21,49.34,10.55,1520.51,4
37.42,59.75,13.52,1631.1,4
33.41,56.68,14.52,458.41,0
29.17,34.08,7.49,1494.3,0
38.27,81.33,15.33,1905.92,4
34.4,59.95,4.08,984.46,3
26.64,34.52,11.95,1758.37,4
38.88,62.94,23.78,985.73,1
20.58,73.15,10.28,676.41,0
20.44,58.25,3.72,127.94,3
26.64,60.48,4.35,355.3,3
32.61,78.44,12.78,710.45,2
39.94,81.59,24.09,1449.59,0
31.84,59.12,13.86,1313.96,0
30.79,79.86,5.1,1200.7,0
32.55,49.28,3.12,848.21,3
20.68,61.32,18.1,484.08,0
31.41,61.4,11.8,674.19,0
37.08,66.93,16.05,560.27,1
33.13,60.08,5.72,130.34,0
24.36,31.27,7.87,1477.55,0
36.55,67.43,3.57,1397.17,0
22.57,63.44,24.35,1670.21,4
25.72,69.46,11.99,1680.64,4
38.28,63.66,15.93,40.9,1
30.56,65.36,20.74,1716.09,4
37.57,84.08,22.78,1181.05,0
22.85,83.83,24.96,1074.31,0
22.68,39.76,14.38,1663.47,4
31.93,74.58,12.21,546.01,0
35.24,70.12,5.3,1392.22,0
37.15,32.0,19.13,624.97,1
20.84,40.44,8.91,946.39,0
21.01,56.9,9.53,1820.23,4
28.29,40.23,22.86,1493.84,0
32.65,49.67,24.7,854.14,0
29.38,38.43,5.61,1663.18,4
31.59,61.17,5.87,1800.7,4
38.72,47.66,13.72,179.73,1
25.43,43.13,13.4,1718.08,4
38.18,70.71,21.53,189.96,1
20.77,35.9,13.9,1773.71,4
38.02,67.89,13.72,1366.22,0
35.6,47.67,23.3,929.04,1
25.45,82.14,16.74,1911.05,4
22.18,46.72,23.17,396.29,0
21.23,79.52,16.69,914.2,2
24.32,60.96,23.78,1828.0,4
36.56,73.49,22.74,1581.74,4
38.25,36.96,11.67,698.39,1
25.57,79.56,10.27,1917.59,4
32.06,82.29,3.26,911.62,0
34.65,81.21,14.32,907.45,2
39.51,84.43,21.33,610.3,0
24.51,50.6,14.91,247.69,0
33.05,36.14,3.15,866.18,3
25.55,75.75,16.61,857.79,2
30.21,40.86,15.15,1381.99,0
30.08,57.97,17.18,1437.86,0
28.01,81.14,15.21,1800.12,4
21.38,77.44,7.72,323.48,2
30.54,30.01,3.1,710.99,3
22.23,47.81,20.74,308.05,0
20.19,82.24,9.33,250.76,2
37.31,31.7,13.88,184.81,1
37.14,63.37,18.02,1219.57,0
25.71,38.83,6.25,1303.69,0
22.16,48.35,8.6,1865.91,4
27.01,50.5,3.0,91.65,3
32.69,46.81,7.98,1791.54,4
34.08,66.73,23.53,1920.83,4
27.04,77.41,19.98,60.79,2
25.22,32.94,11.96,1252.63,0
23.14,69.06,11.62,1056.65,0
25.51,61.61,16.59,82.18,0
38.73,59.85,20.84,1533.65,4
27.81,72.54,4.71,367.17,3
23.46,46.39,21.67,646.6,0
24.63,31.03,3.67,969.68,3
23.87,62.91,11.45,1709.8,4
21.28,71.55,8.64,62.67,0
32.42,83.89,6.63,1984.27,4
22.5,76.49,6.45,1633.43,4
34.09,53.08,22.28,1833.35,4
26.8,59.3,10.55,1910.6,4
36.37,79.03,20.26,380.14,0
37.15,63.68,6.03,1452.58,0
23.12,42.08,11.18,1373.37,0
37.25,43.4,9.88,77.1,1
23.65,34.12,11.05,667.6,0
38.79,30.74,14.49,701.91,1
21.33,63.7,4.34,1187.16,0
25.03,62.77,15.64,1179.4,0
25.55,64.76,16.07,575.32,0
20.97,79.99,14.56,431.08,2
34.96,47.38,11.74,1279.51,0
39.28,78.4,13.38,1526.18,4
26.73,80.99,14.2,209.53,2
22.05,73.73,3.41,650.01,3
30.48,39.45,8.91,1484.83,0
31.71,57.99,19.95,438.91,0
20.05,43.58,8.69,1334.72,0
24.7,80.92,11.2,542.74,2
21.35,52.31,19.95,1675.4,4
21.35,67.81,16.72,1790.33,4
39.19,34.19,5.02,454.08,1
34.66,81.62,11.63,1322.56,0
21.11,84.2,7.89,1121.67,0
39.4,62.06,18.62,1645.65,4
27.71,63.24,22.04,10.93,0
39.75,37.38,19.2,1230.68,0
39.35,54.85,3.41,54.24,0
25.77,51.23,18.64,1328.07,0
22.13,80.43,10.68,906.03,2
27.85,74.32,3.82,1853.31,4
34.82,56.21,22.16,983.69,0
20.53,45.88,16.37,754.9,0
37.97,50.86,10.41,1902.45,4
29.82,38.26,18.9,985.27,0
34.72,32.91,6.89,1928.03,4
33.02,37.79,20.27,997.76,0
29.98,68.78,19.51,124.06,0
29.67,30.31,17.51,1379.97,0
38.95,81.69,3.72,1161.15,0
38.18,38.87,9.75,1696.31,4
25.25,38.78,21.52,453.39,0
37.4,30.57,8.33,269.84,1
21.53,54.71,11.27,969.63,0
26.12,44.3,5.92,839.25,0
37.94,80.89,21.81,1405.87,0
36.97,70.7,13.57,1295.78,0
22.18,31.51,13.59,1862.49,4
34.35,62.99,14.52,1385.06,0
36.03,50.97,20.66,1891.7,4
32.99,75.87,23.57,1980.94,4
27.72,55.42,18.83,899.51,0
33.24,44.14,3.49,1412.0,0
21.61,39.09,18.46,1911.16,4
30.62,65.4,7.74,1439.97,0
30.52,64.3,22.67,1650.81,4
21.81,42.73,11.93,244.44,0
38.17,82.78,21.77,698.95,0
23.85,45.72,5.44,830.69,0
24.52,75.23,18.11,1330.27,0
33.65,39.47,16.26,1787.54,4
20.54,77.81,22.49,390.87,2
35.3,65.44,24.99,1088.8,0
28.59,68.46,10.94,1423.16,0
35.93,41.87,15.46,1067.11,0
29.34,32.5,12.0,1949.01,4
21.79,78.12,4.72,576.83,0
34.79,70.84,15.16,1412.95,0
25.28,54.05,6.71,198.29,0
29.85,53.58,12.42,519.91,0
34.34,33.39,14.74,1180.24,0
39.85,74.02,5.5,359.35,1
37.69,63.55,24.31,1056.77,0
30.7,68.95,7.56,254.86,0
29.2,34.11,17.87,585.07,0
23.52,34.58,18.14,620.05,0
26.42,83.06,4.94,1437.51,0
22.85,74.33,4.94,145.01,3
26.78,42.63,3.04,461.56,3
32.14,45.41,18.15,1723.99,4
20.4,68.64,10.38,1920.04,4
26.04,73.45,20.89,1365.52,0
39.12,51.94,11.78,95.97,1
24.15,46.94,10.4,1681.84,4
37.16,65.3,17.26,283.76,1
29.25,61.56,6.0,1662.26,4
35.26,81.94,22.45,446.83,0
25.42,30.32,4.54,359.16,3
32.77,61.78,12.92,1593.97,4
28.86,50.46,21.54,339.82,0
39.03,68.21,6.76,895.66,1
25.23,81.89,16.48,383.25,2
26.54,49.31,11.93,998.96,0
20.7,84.89,18.3,1821.98,4
22.18,71.35,24.77,690.55,0
21.15,32.19,23.58,184.01,0
31.92,40.63,20.07,1789.01,4
35.64,44.53,17.97,7.79,1
23.66,70.58,17.88,941.35,0
28.48,40.52,18.3,360.8,0
23.98,62.71,6.11,1031.93,0
26.37,60.17,18.33,1936.35,4
39.91,56.03,5.16,1156.56,0
26.27,49.89,7.93,1908.75,4
29.44,41.7,6.95,1322.18,0
29.59,76.88,8.3,1294.03,0
34.22,33.48,7.32,819.42,0
27.87,77.56,19.02,1751.64,4
29.0,38.07,9.7,579.43,0
26.69,63.35,3.65,13.42,3
37.17,57.13,11.59,1176.98,0
33.61,65.44,18.56,762.77,0
24.18,57.51,13.38,1808.47,4
24.18,79.99,21.46,1642.08,4
34.31,80.24,4.03,1224.81,0
34.26,31.17,11.86,702.64,0
37.7,61.95,11.56,1287.56,0
26.87,43.44,15.89,1854.84,4
24.89,66.64,14.47,318.52,0
34.56,52.0,24.0,1188.21,0
31.62,59.8,21.66,424.77,0
33.21,41.57,20.12,495.99,0
25.63,59.1,21.39,1339.08,0
22.08,83.04,22.89,1024.79,0
37.12,70.37,10.22,964.21,1
31.91,65.93,14.31,80.29,0
34.45,63.76,13.07,1376.47,0
25.09,59.35,13.94,350.98,0
36.67,34.73,7.88,1944.99,4
34.17,73.37,19.15,1928.77,4
26.14,55.88,21.98,1456.88,0
26.5,35.84,16.47,1258.75,0
32.45,46.31,4.14,156.31,3
32.98,53.31,7.63,393.03,0
25.16,83.91,17.42,1997.8,4
37.05,69.91,8.71,203.9,1
24.73,83.44,19.24,1957.25,4
24.84,74.22,14.33,762.62,0
34.38,51.71,4.52,1477.46,0
27.4,77.57,11.86,722.46,2
35.92,76.85,21.0,796.24,0
36.53,54.27,10.54,720.5,1
36.54,77.07,5.74,93.9,0
39.31,40.76,15.26,1070.36,0
28.09,78.26,7.28,1442.03,0
36.8,37.4,16.25,304.5,1
31.07,59.83,12.92,616.37,0
30.6,58.08,10.04,770.85,0
22.07,80.48,7.72,1304.89,0
24.7,73.54,13.25,280.47,0
28.73,52.46,3.98,1227.7,0
34.09,34.38,6.89,171.48,0
25.63,55.19,5.03,376.94,0
35.79,67.15,22.2,1116.58,0
34.29,69.16,15.92,96.22,0
36.23,33.3,8.83,1489.28,0
37.25,71.24,24.78,687.5,1
26.68,35.03,6.9,1662.16,4
23.02,47.04,24.16,694.21,0
20.22,60.58,7.96,1853.62,4
34.57,38.7,5.81,1233.21,0
26.25,67.22,23.58,728.51,0
35.77,71.89,9.85,1028.55,0
29.76,50.97,7.21,1114.17,0
24.69,33.11,3.78,1771.93,4
21.48,59.2,17.32,1254.02,0
25.1,33.11,19.5,568.03,0
21.79,74.64,3.97,876.21,3
22.95,79.6,20.19,276.37,2
33.78,43.64,7.67,1830.3,4
33.42,35.06,6.91,1639.39,4
21.5,56.86,24.67,1302.49,0
31.72,34.56,7.93,15.39,0
22.33,45.62,4.63,511.54,3
30.07,61.2,14.54,227.14,0
31.42,33.65,15.47,66.49,0
28.54,84.02,6.32,150.14,2
36.58,61.72,17.59,22.14,1
29.79,73.22,21.22,885.91,0
26.23,55.01,9.64,212.45,0
25.01,43.4,13.72,1354.43,0
30.29,62.21,8.73,18.36,0
31.24,38.8,19.71,1423.63,0
26.17,82.16,6.68,1003.87,0
26.47,42.92,13.35,862.43,0
27.25,53.29,7.67,1097.72,0
21.87,47.77,8.03,793.58,0
23.82,81.36,24.55,1641.03,4
39.22,71.31,19.99,1866.7,4
37.15,60.86,13.74,372.99,1
24.04,72.87,8.35,813.87,0
22.76,66.11,21.15,368.25,0
37.34,75.65,7.98,1522.54,4
26.04,43.08,5.81,776.79,0
32.01,45.72,16.8,1032.5,0
27.0,47.08,10.19,1728.96,4
25.78,34.93,14.47,296.99,0
27.1,35.31,11.58,1334.32,0
33.62,34.32,17.99,204.18,0
20.59,51.98,14.57,1111.74,0
20.25,37.19,5.77,1714.46,4
30.01,36.77,6.25,1151.06,0
35.67,45.49,17.47,1976.21,4
28.62,56.43,9.65,1476.5,0
24.75,62.35,21.71,613.04,0
29.0,34.66,21.91,1185.34,0
20.74,82.55,3.24,90.63,0
23.3,33.38,19.23,18.03,0
29.02,44.57,5.16,1942.96,4
29.09,35.65,19.14,1827.66,4
29.15,58.54,4.51,952.37,3
24.88,77.26,9.4,1411.47,0
37.41,41.99,3.48,318.32,0
22.81,78.46,13.37,1187.26,0
26.73,41.93,5.35,354.44,0
20.07,83.56,9.76,323.62,2
32.97,57.08,8.56,139.58,0
38.96,30.35,3.08,155.37,0
32.19,68.53,24.13,1353.65,0
20.97,77.55,12.08,1169.13,0
32.63,84.18,4.27,1827.4,4
25.53,49.22,14.75,1644.44,4
38.69,73.05,23.39,1972.19,4
34.03,38.99,7.81,1756.52,4
34.22,37.17,12.35,846.84,0
37.78,50.78,10.66,1462.48,0
21.48,65.57,4.2,1235.86,0
34.09,75.31,15.18,662.23,2
32.06,49.58,17.68,1928.51,4
33.87,33.9,7.73,661.65,0
34.5,49.6,12.61,1141.41,0
35.96,66.27,23.37,1363.8,0
32.3,36.27,24.22,881.27,0
20.22,78.0,3.05,738.1,0
35.5,44.22,6.41,170.32,1
22.49,42.4,13.69,1340.37,0
20.03,64.58,24.7,232.0,0
31.07,64.84,20.9,843.54,0
25.86,66.08,12.46,1332.41,0
36.68,30.48,14.8,1157.61,0
35.32,69.85,13.07,1385.9,0
22.94,36.85,23.81,1122.34,0
30.0,31.0,6.88,1919.45,4
39.88,77.81,7.1,1098.18,0
30.22,40.8,11.31,1253.08,0
33.65,55.65,14.53,32.01,0
23.24,51.22,20.35,897.19,0
23.58,71.21,11.79,566.46,0
35.47,80.45,19.8,681.0,0
35.96,62.86,7.08,198.82,1
26.05,38.99,17.12,917.81,0
25.77,84.65,11.07,138.92,2
30.23,63.61,22.85,1446.14,0
25.08,66.66,8.34,628.88,0
34.33,76.72,20.54,734.06,2
24.03,40.12,16.18,1166.17,0
39.87,65.55,16.14,1357.78,0
30.27,60.84,3.18,1096.58,0
39.45,63.8,15.1,1621.94,4
20.44,50.5,8.78,1646.42,4
31.0,38.35,20.34,91.92,0
36.36,61.94,22.71,781.54,1
38.98,82.8,22.32,1061.76,0
27.62,32.54,18.17,1335.21,0
26.21,73.85,18.63,337.65,0
30.02,70.12,12.62,847.72,0
34.56,38.37,3.49,402.07,3
36.07,71.01,10.48,1078.53,0
23.9,77.79,12.8,1048.88,0
27.36,67.52,5.87,0.27,0
35.78,63.54,18.45,220.14,1
30.76,67.41,18.16,453.5,0
33.11,36.79,8.0,135.59,0
28.86,78.04,7.6,1695.85,4
29.5,78.73,16.67,1564.43,4
28.25,36.13,16.36,478.32,0
26.68,73.52,19.79,1937.59,4
24.53,33.79,11.19,993.92,0
26.71,83.42,11.78,788.5,2
21.97,42.06,9.78,645.15,0
34.3,43.46,12.74,1828.11,4
31.14,71.99,8.0,607.85,0
31.0,60.87,17.44,529.32,0
29.99,47.24,10.25,963.77,0
34.08,33.81,7.07,684.85,0
24.43,79.97,5.21,1674.19,4
32.91,53.15,18.29,1209.62,0
26.34,58.03,12.99,1824.58,4
20.2,66.44,14.3,1717.96,4
37.56,56.38,13.71,849.71,1
20.5,72.12,14.87,769.53,0
33.01,32.11,5.11,822.78,0
25.81,31.12,6.35,1263.16,0
33.77,61.2,10.82,382.35,0
21.91,54.17,17.64,943.36,0
25.22,39.75,19.58,1945.87,4
35.78,38.11,6.24,317.46,1
31.42,34.87,16.72,1004.51,0
26.43,38.76,10.67,1101.02,0
20.29,56.21,11.11,916.19,0
29.15,37.7,22.99,629.16,0
30.36,75.98,5.01,1392.05,0
29.96,68.34,12.01,829.73,0
20.93,34.88,13.38,251.73,0
36.03,55.32,6.96,424.42,1
38.39,82.79,5.51,239.71,0
21.68,77.7,19.12,1000.01,0
37.12,78.81,21.54,1843.01,4
33.13,84.03,9.05,1543.59,4
39.68,34.38,5.66,811.41,1
30.39,39.88,5.94,1277.07,0
34.85,53.95,24.91,894.71,0
28.7,36.8,15.34,541.17,0
36.24,59.43,10.16,941.9,1
24.82,58.9,21.63,1360.25,0
21.82,39.71,3.01,178.56,3
30.75,46.91,7.65,543.15,0
29.28,38.5,14.99,1977.36,4
27.81,47.14,4.11,222.55,3
22.63,66.88,10.89,1810.56,4
23.66,70.05,24.42,519.13,0
23.92,55.57,23.23,1555.21,4
28.81,71.81,3.65,1008.06,0
25.27,49.58,23.92,1676.31,4
32.61,68.36,19.87,171.74,0
38.81,45.12,21.95,1040.29,0
24.13,35.86,14.74,450.36,0
38.61,78.66,3.36,846.63,0
21.16,50.81,14.65,502.61,0
20.58,53.57,11.27,1555.94,4
22.43,32.94,22.39,905.08,0
21.22,37.62,10.87,878.63,0
39.35,50.95,11.4,1102.14,0
29.36,38.49,15.35,410.9,0
26.38,59.54,6.84,264.82,0
21.98,66.82,10.15,965.51,0
29.51,59.23,9.46,1739.35,4
22.84,77.93,24.67,1023.25,0
35.57,52.91,11.25,677.49,1
21.7,65.34,16.66,1441.82,0
24.31,84.61,16.1,402.71,2
29.57,40.67,7.17,1766.49,4
28.93,76.42,23.33,653.7,2
36.85,36.53,8.63,584.42,1
38.01,52.33,21.22,1223.52,0
33.36,41.38,23.89,96.77,0
31.99,68.47,12.66,1978.99,4
38.36,72.34,9.06,1047.55,0
32.91,56.73,7.73,407.12,0
26.88,80.29,15.33,1178.39,0
26.42,58.91,4.84,514.65,3
34.26,36.47,24.56,419.16,0
24.67,73.41,19.9,1903.96,4
36.7,38.36,10.72,285.59,1
24.62,73.6,16.6,931.24,0
37.56,42.47,7.98,254.42,1
35.92,68.03,16.11,941.35,1
31.97,42.97,17.81,1308.28,0
24.73,45.7,16.1,244.61,0
20.6,35.44,9.31,331.13,0
35.44,83.65,7.88,1749.17,4
26.7,69.63,9.79,43.33,0
35.96,34.45,22.76,105.05,1
32.55,45.61,10.21,354.64,0
24.99,66.13,10.03,1576.55,4
28.75,85.0,4.35,1117.88,0
20.15,71.5,14.4,1478.96,0
26.1,38.79,21.84,1359.97,0
37.8,44.88,23.41,767.69,1
36.25,75.51,3.43,1542.6,4
31.15,78.49,9.68,1037.67,0
37.92,54.5,11.27,818.07,1
29.46,83.4,9.88,865.34,2
30.49,68.24,9.87,893.9,0
24.97,82.38,9.48,490.75,2
33.82,69.4,12.55,1822.78,4
21.01,82.03,18.48,828.04,2
21.72,50.62,12.84,493.64,0
39.57,31.41,21.92,1824.24,4
38.66,70.39,22.71,375.02,1
20.21,32.52,11.79,745.36,0
34.2,68.82,10.49,1839.52,4
30.54,57.76,11.3,662.58,0
39.5,47.33,12.37,1626.18,4
32.3,47.17,21.46,121.51,0
25.98,71.58,22.68,355.59,0
31.53,33.16,4.7,289.4,3
32.13,34.75,10.51,888.37,0
23.66,73.97,3.34,1077.1,0
29.37,56.52,7.0,839.07,0
34.68,48.41,18.63,1628.31,4
29.15,31.24,12.0,670.33,0
24.12,37.06,4.62,1100.41,0
37.02,68.78,6.42,232.78,1
37.69,37.97,18.21,214.03,1
27.88,49.68,24.83,410.47,0
38.54,44.47,13.73,795.16,1
38.85,55.14,21.67,401.67,1
27.38,41.47,5.94,1421.8,0
31.32,48.51,7.37,327.39,0
22.2,76.24,12.75,1129.2,0
27.42,46.24,23.78,234.62,0
30.75,44.18,17.47,405.32,0
39.88,66.58,12.43,451.62,1
33.61,61.59,13.89,899.6,0
22.09,72.88,3.42,1561.64,4
27.92,53.66,22.02,1899.22,4
